Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_6_TEXT,Q7,Q7_14_TEXT,Q8_4,Q9,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_2,Q28,Q29,Q30_4,Q31,Q32_4,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q35,Q36,Q37,Q38,Q39,Q39_44_TEXT,Q40,Q41,Q41_19_TEXT,Q42,Q43,Q44,Q45,Q46,Q46_101_TEXT,Finished
Yes,Yes,Equity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,3,No,Time and a half,,8,Yes,400000,Yes,No,Yes,No,775,1600,Decrease,Decrease,800,2800000,Yes,1200000,,20,Very satisfied,Yes,10,Somewhat more,15,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Not important,Not important,Somewhat important,Somewhat important,Yes,130,60,21,Mergers & Acquisitions,,United States,Boston,,2110,Male,54,White,University of Connecticut,,1
Yes,No,,No,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,0,No,Organization doesn't compensate for overtime,,10,No,,No,,Yes,Yes,775,2100,Stay the same,Decrease,100,575000,Yes,0,9,,Somewhat satisfied,No,,About the same,,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Highly important,Highly important,Not important,Extremely important,Not important,Yes,100,1,8,Intellectual Property,,United States,Other (Please specify),Nonya,10001,Male,46,White,Other,,1
Yes,Yes,Equity,Yes,Bonus,,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,3.5,No,Time and a half,,9,No,,Yes,Yes,Yes,Yes,650,1700,Decrease,Decrease,200,1850000,Yes,325000,,100,Somewhat satisfied,No,,About the same,2,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Extremely important,Somewhat important,Not important,Highly important,Not important,No,2000,900,6,Banking,,United States,Miami,,33401,Male,47,White,Georgetown University,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Other",Production bonuses,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Car allowance,Other","Vision, long term disability, transportaion, parking",3.5,No,Time and a half,,7,Yes,"$325,000 ",No,No,Yes,Yes,500,1165,Increase,Increase,800,455000,No,"$449,000 ",,0,Very satisfied,No,,About the same,10,Mostly satisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Highly important,Somewhat important,Not important,Somewhat important,Not important,No,230,145,17,Insurance,,United States,Philadelphia,,19103,Male,64,White,University of Pennsylvania (Carey),,1
Yes,Yes,Equity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,6,Yes,"450,000",Yes,No,Yes,Yes,880,1400,Stay the same,Stay the same,500,870000,Yes,700000,,20,Very satisfied,No,,Somewhat more,7,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,170,40,5,Tax,,United States,Other (Please specify),Spokane,99201,Male,72,White,New York University,,1
Yes,Yes,Equity,No,"Nonequity incentive compensation,Stock",,Entirely discretionary,,"401K,Medical,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,9,Yes,400000,Yes,Yes,Yes,Yes,555,1800,Decrease,Decrease,500,525000,No,525000,7,,Somewhat dissatisfied,Yes,20,Somewhat more,20,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Somewhat important,Not important,Somewhat important,Not important,No,240,85,19,General Litigation,,United States,Washington D.C.,,20850,Female,52,White,Other,,1
Yes,Yes,Equity,No,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Long-term disability,Life insurance",,6,No,Time and a half,,8,Yes,?,No,No,Yes,No,540,1850,Stay the same,Stay the same,950,450000,No,450000,7,,Somewhat satisfied,No,,About the same,0,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Yes,221,89,20,General Litigation,,United States,Other (Please specify),Hartford,6103,Male,55,White,Boston College,,1
Yes,Yes,Equity,Yes,Other,cash,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,Yes,?,Yes,Yes,Yes,No,640,1600,Increase,Decrease,300,550000,No,None,,25,Somewhat satisfied,Yes,20,About the same,28,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Highly important,Yes,900,400,19,Mergers & Acquisitions,,United States,Denver,,80202,Male,58,White,University of Kansas,,1
Yes,Yes,Equity,No,Stock,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,Yes,Time and a half,,8,Yes,700000,Yes,Yes,Yes,No,940,2350,Decrease,Stay the same,300,500000,No,500000,8,,Very dissatisfied,No,,Much less,5,Mostly dissatisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Somewhat important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,170,42,4,General Litigation,,United States,New York,,10010,Female,39,White,Emory University,,1
Yes,Yes,Nonequity,No,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Other,N/A,9,Yes,350k,Yes,No,Yes,Yes,445,1925,Stay the same,Stay the same,250,246000,Yes,216,8,,Very dissatisfied,Yes,15,Somewhat less,,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very dissatisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Highly important,Extremely important,Extremely important,Yes,916,394,9,Employment,,United States,Other (Please specify),Nashville,37219,Female,43,White,New York University,,1
